,caption,date,likes,comments,shortcode
65,"Bye, bye prehistoria financiera. Ahora puedes tener el control de tu dinero desde dónde sea. Incluso 20 metros debajo del mar. #BievenidoALaEraNu",2023-11-02 00:45:13,723,27,CzH79mvNEWJ
66,"¡Nuviembre ya hizo efecto!

Si hiciste tu depósito en Cuenta Nu del 12 de octubre al 5 de noviembre, revisa tu app Nu, tu premio está por llegar.",2023-10-27 23:13:41,556,55,Cy65g4fJbZE
67,"El día de hoy estamos de manteles morados, pues celebramos que ya somos 90 millones de NuLovers en Brasil, Colombia y México. Déjanos en los comentarios desde cuándo tienes tu moradita.",2023-10-25 17:27:33,1713,160,Cy1ITBSLsMm
68,"¡Prepárate que se acerca Nuviembre!

Haz un depósito de $2,500 o más, mantenlo en tu Cuenta Nu hasta el 5 de noviembre de 2023 y recibe una recompensa.

Da clic en el link de la bio y conoce más del Efecto Nuviembre.",2023-10-23 23:59:13,416,36,Cywrc5WJJyT
69,"¡El efecto Nuviembre te da más!

Deposita en tu Cuenta Nu $2,500 o más y mantenlo hasta el 5 de noviembre para recibir una recompensa.

Da clic en bio para conocer todos los detalles. 
.
.
.

GAT nominal 9.41% y GAT real 4.94%.
Monto mínimo de ahorro 0.01$. Calculados el 2 de Septiembre de 2023. Antes de impuestos. La GAT real es el rendimiento que obtendrás después de descontar la inflación estimada. Vigencia al 29 de Febrero de 2024.  Tasa de rendimiento 9% anual fija. Producto garantizado por el Fondo de Protección hasta por 25,000 UDIs.  El rendimiento diario únicamente se genera sobre el saldo apartado en la ""Cajita"". Consulta requisitos de contratación, promoción sujeta a términos y condiciones, consultar en nu.com.mx/cuenta.",2023-10-21 18:57:53,952,53,Cyq_eFaJHYM
70,Despedimos a la prehistoria financiera rompiendo un GUINNESS WORLD RECORD. Compártelo con tus amix para que le den la Bienvenida a La Era Nu. La era en la que incluso 20 mts bajo el agua tienes el control de tu dinero.  #BievenidoALaEraNu,2023-10-20 03:10:11,3397,83,CymuN-tMMqS
71,"Comenzamos la ruta hacia la era Nu. Después de haber crecido de forma sostenida, en octubre de 2023, Nu México comienza el proceso para solicitar la autorización de una licencia bancaria.

Nuestro objetivo es ofrecerte cada vez más y mejores productos y servicios.",2023-10-19 20:24:04,3844,259,Cyl_vjcJ89Q
72,"@arianny.tenorio, Cris de @coreanovlogs, @patoramz_ y @mauriciolopez 24 horas antes de que se rompiera un GUINNESS WORLD RECORD por lograr la primera transacción financiera bajo el agua. Las vemos y nos volvemos a emocionar 🤩. #BievenidoALaEraNu",2023-10-17 00:00:13,973,37,CyeqGBqCJU_
73,"¿Cómo ganar premios este Nuviembre?

Prepara tu Cuenta Nu, ahorra y disfruta del efecto Nuviembre.

Deposita en tu Cuenta Nu $2,500 o más y mantenlo hasta el 5 de noviembre de 2023 para recibir una recompensa.",2023-10-13 21:26:08,1113,109,CyWp-JaJ8aP
74,"Dejamos atrás la prehistoria financiera y le dimos la bienvenida a la era Nu de manera histórica: logramos la primera transacción financiera 20 mts bajo el agua y rompimos un GUINNESS WORLD RECORD. Todo esto para demostrarle a nuestros clientes que con Nu tienes el control de tu dinero. 

¿Tienes dudas sobre cómo lo logramos? Te  respondemos en comentarios. #BievenidoALaEraNu",2023-10-12 22:56:05,5592,331,CyUPid-B6x-
75,"Teníamos una sola misión: extinguir la prehistoria financiera. Qué dices, ¿lo logramos?  #BievenidoALaEraNu",2023-10-11 02:38:13,1483,68,CyPfZGDhwHk
76,Teclea en tu buscador estas coordenadas y dinos qué encuentras. #BievenidoALaEraNu,2023-10-10 00:16:23,666,66,CyMqXLJPDVj
77,Por fin es viernes y la moradita lo sabe. 💃 ¿A dónde vas a llevarla este fin de semana? ¡Te leemos! 👀,2023-10-06 21:43:24,590,38,CyEqfNDJg2E
78,"¿Sabías que Nu México tiene el respaldo global de Nu Holdings, Ltd.: la empresa controladora de Nu que opera en Brasil, México y Colombia?En el link de la bio podrás conocer todo al respecto.",2023-10-06 16:21:46,489,6,CyEFrZGsbZK
79,"Cuando controlas tu dinero de forma cómoda y relajante desde la app, se nota. Deja un 💜 si ya eres NuLover.",2023-09-29 00:28:00,1268,100,CxwW9wtJOBQ
80,"@diegobarrazas, creador de @dementespodcast y anfitrión en el podcast de Nu ""inconformes"", dará una clase para los miembros de ComunidadNu en donde hablará de los pros, contras y los mejores tips para empezar a generar dinero a través de los contenidos en internet. Regístrate en el link de nuestra bio.",2023-09-27 23:19:24,158,3,CxtqUdmr1_m
81,"La TDC y Cuenta Nu, son el dúo perfecto para que tomes el control de tu dinero, incluso desde una alberca de pelotas. Comenta 💜 si las llevas contigo a todos lados.",2023-09-25 23:35:29,1555,116,CxoikdALMiG
82,"S&P Global Ratings acaba de conceder a Nubank, la empresa matriz del grupo Nubank y Nu Financiera, una calificación internacional BB-, la calificación más alta en Brasil, misma que comparte con los principales bancos del país. Pero ¿qué significa para mí como cliente de Nu México? ¡Te preparamos un carrusel con todos los detalles!",2023-09-22 22:32:46,540,26,CxgtAhXp6oI
83,"Conoce @mxplantae, el emprendimiento que Arturo ha construido a partir de su amor a las plantas. Para saber cómo apoyar a este y otros emprendimientos entra al link de nuestra bio. #LaDiversidadTransforma",2023-09-12 23:05:20,413,56,CxHAyQhN--8
84,"No es por nada pero tenemos una nueva oficina muy #aesthetic 
¿Sí o no?",2023-09-12 00:05:27,1290,34,CxEi3vkNd2H
85,"Nuestra hermosa ComunidadNu cumple un año y seguimos de fiesta. Si aún no eres parte, te estás perdiendo de noticias exclusivas, tips de educación financiera y un gran espacio especial para los NuLovers. ¿Qué esperas? Regístrate ya.",2023-09-08 21:54:25,642,38,Cw8lfaZMemU
86,El control de tus finanzas es cada vez es más fácil con Nu. ¡Ahora ya puedes pagar tu TDC desde la app con tu Cuenta Nu! Entra al link en la bio de #BlogNu y conoce todas las formas con las que puedes pagar tu TDC Nu.,2023-09-07 23:37:24,524,34,Cw6MdttLCMR
87,"ComunidadNu es un espacio para compartir, aprender y construir en conjunto un futuro morado para México. Este hermoso espacio cumple un año de estar abierto para las y los Nulovers. Ooobviamente teníamos que festejarlo a lo grande. Corre al link en la bio para ser parte de la celebración y tener la posibilidad de ganar merch oficial de aniversario.",2023-09-05 22:52:42,777,18,Cw09xiotIG9
88,"ComunidadNu es un espacio para compartir, aprender y construir en conjunto un futuro morado para México. Este hermoso espacio cumple un año de estar abierto para las y los Nulovers. Ooobviamente teníamos que festejarlo a lo grande. Corre al link en la bio para ser parte de la celebración y tener la posibilidad de ganar merch oficial de aniversario.",2023-08-31 01:19:20,1232,46,CwlxyYgLJ4u
89,"#LaDiversidadTransforma negocios, emprendimientos y la economía de todas las personas. ¿Quieres saber cómo? Entra al link en nuestra bio. https://nu.com.mx/diversidad/",2023-08-25 22:06:28,172,6,CwYjvYtLfL4
90,"Abrir las puertas a la diversidad es generar una mejor economía para tu emprendimiento, empresa o negocio. ¿Qué esperas? Entra al link de nuestra bio y descubre cómo #LaDiversidadTransforma",2023-08-24 00:30:06,350,21,CwTqloON4x1
91,La diversidad tiene el poder de transformar nuestra economía. La historia de @faustovillagranoficial es un gran ejemplo. Conoce más sobre nuestra iniciativa  #LaDiversidadTransforma en nuestra bio 🏳️‍🌈💜.,2023-08-23 00:02:59,506,55,CwRCosiJWVv
92,"¿Qué cara pones cuando te llega el estado de cuenta? Deja tu emoji en los comentarios, mientras @sandropank te explica con humor en el link de la bio cómo usar el Plan de Pagos Fijos, para diferir parte de tu saldo y evitar deudas.",2023-08-22 00:14:43,155,21,CwOfPNLpB5x
