,caption,date,likes,comments,shortcode
67,"📣 ¡Atención Chihuahua! El Reto Hey ha llegado a tu ciudad 📣
Busca tu Boleto Dorado este 2 de marzo, adivina el lugar con las pistas, atrápalo y encuentra premios que podrás canjear en la Hey Shop o Fan Shop.

¡Activa tus notificaciones y no pierdas esta oportunidad! 
Mantente atento a los siguientes sábados habrá nuevas pistas en nuevas ciudades.

#Chihuahua",2024-02-29 18:33:31,295,23,C38Q0OVOWLf
68,"¡EARLYBIRD TICKETS YA A LA VENTA BB! 🎟✨

AMISTADES SEPAREN YAAA SU LUGAR Y COMPREN SU BOLETO A UN SUPER PRECIO ESPECIAL 💕🌈

Sabes que somos el evento más ICÓNICO del PRIDE en Monterrey Y NO TE QUIERES QUEDAR FUERA.

📆 8 de Junio
📍 Parque Fundidora
🎟 Compra tus boletos en superboletos.com o en puntos de venta oficiales, Innova Sport, Taquilla Arena Monterrey y Palacio de Hierro.

👉🏽 bit.ly/BoletosCute

Para la venta exclusiva Hey Banco deberás ingresar los primeros 6 digitos de tu tarjeta.

#CutePrideFestival. #Cute #PrideMonth #PrideFestival #Pride #Mty #Monterrey",2024-02-29 18:00:15,179,3,C38NAj1uI1W
69,"¡Bob, el acreedor del Boleto Dorado de Edición Especial NFL! 🏈🎰💫

Conoce cómo su Tarjeta Hey, le ayudó a conseguir el Boleto Dorado para vivir la experiencia del Super Bowl LVII🎂🎲",2024-02-28 22:16:49,106,0,C36Ff-jO-VX
70,"¿Puedes alinear nuestra Tarjeta Hey en su lugar? 👀💳 ¡Te retamos a hacerlo tomando un screenshot! 

Nuestra nueva tarjeta en colaboración con @barreto.cecilia ya está disponible en tu App Hey. 📲

#HeyBanco #tarjeta #TDC #finanzas #arte #colaboración",2024-02-27 22:43:49,139,6,C33j1CiuHTx
71,"¡Es hora de elegir a los finalistas de Reto Emprende Hey! 🚀💡

Vota por la idea más innovadora.

Sigue estos pasos para votar:
 1. Ingresa a https://hey.inc/VotaRetoEmprende
2. Vota por tu idea favorita de las 5 categorías.
3. Valida tu correo y ¡listo!

El ganador con más votos, ¡gana $50,000 pesos! 🤑

Recuerda que puedes votar solo una vez, tienes hasta el 5 de marzo para votar.",2024-02-26 23:03:14,117,0,C31BTBFPWxR
72,"¡El momento que todos estábamos esperando! 🌟 

Nuestro afortunado del Boleto Dorado del Buen Fin tuvo la oportunidad de elegir los mejores incentivos en tiempo récord en Soriana.

Desde electrónicos hasta tarjetas de regalo de Amazon y Airbnb, no dejó pasar ni un segundo para llenar su carrito con los incentivos más increíbles para compartir con su familia. 🎁💻🏠",2024-02-26 21:06:30,841,2,C30zv1fy4yN
73,"¡Conoce nuestros tokens! 🪙 Una nueva forma de participar por grandes incentivos dentro de nuestras Fan Shops. 🕹️ ¿Qué esperas para participar? 🥳

Visita nuestras Fan Shops en:
📍CDMX: Av. Pate Masaryk 25
📍MTY: Plaza Fiesta San Agustín
📍GDL: Midtown GDL

#HeyBanco #FanShop #token #incentivo #dinamica",2024-02-22 22:12:28,410,0,C3qn-pCO8i9
74,"📣 ¡Atención, Guadalajara! Prepárate para el siguiente Reto Hey 📣 

Busca tu Boleto Dorado este 24 de febrero, adivina el lugar con las pistas, atrápalo y encuentra premios que podrás canjear en la Hey Shop o Fan Shop.

¡Activa tus notificaciones y no pierdas esta oportunidad! 
Mantente atento a los siguientes sábados habrá nuevas pistas en nuevas ciudades.

#Guadalajara #GDL #HeyBanco",2024-02-22 19:59:01,941,7,C3qZCWTuP7q
75,"¡Hey, Guadalajara! ⭐️ Nuestra Fan Shop llega a tierras tapatías. 🤩 Visítanos en @midtown.jalisco en Av. Adolfo López Mateos, Nte 95, L100. 📍

#HeyBanco #HeyFanShop #Guadalajara #apertura #tienda",2024-02-21 21:10:54,705,3,C3n7Ky1OgwV
76,"¡Conoce nuestra nueva Fan Shop en la vibrante ciudad tapatía, Guadalajara! 🇲🇽✨

Visita nuestra tienda física de Hey y disfruta de experiencias digitales únicas, así como de nuestra exclusiva mercancía de edición limitada. 

¡Ven a visitarnos en Midtown Guadalajara y sé parte de esta emocionante aventura!",2024-02-21 19:53:14,263,0,C3nzlFlu0Yh
